i'm 19 .	j'ai 19 ans .
i'm ok .	je vais bien .
i'm ok .	ça va .
i'm fat .	je suis gras .
i'm fat .	je suis gros .
i'm fit .	je suis en forme .
i'm hit !	je suis touché !
i'm hit !	je suis touchée !
i'm ill .	je suis malade .
i'm sad .	je suis triste .
i'm shy .	je suis timide .
i'm wet .	je suis mouillé .
i'm wet .	je suis mouillée .
i am fat .	je suis gras .
i'm back .	je suis revenu .
i'm back .	me revoilà .
i'm bald .	je suis chauve .
i'm busy .	je suis occupé .
i'm busy .	je suis occupée .
i'm calm .	je suis calme .
i'm cold .	j'ai froid .
i'm done .	j'en ai fini .
i'm fine .	tout va bien .
i'm fine .	je vais bien .
i'm fine .	ça va .
i'm free !	je suis libre !
i'm free .	je suis libre .
i'm free .	je suis disponible .
i'm full .	je suis repu  !
i'm full .	je suis rassasié  !
i'm glad .	je suis content .
i'm home .	je suis chez moi .
i'm late .	je suis en retard .
i'm lazy .	je suis paresseux .
i'm lazy .	je suis fainéant .
i'm lazy .	je suis paresseuse .
i'm lazy .	je suis fainéante .
i'm okay .	je vais bien .
i'm okay .	je me porte bien .
i'm safe .	je suis en sécurité .
i'm sick .	je suis malade .
i'm sure .	j'en suis certain .
i'm sure .	je suis certain .
i'm sure .	j'en suis sûr .
i'm sure .	j'en suis sûre .
i'm tall .	je suis grande .
i'm thin .	je suis mince .
i'm tidy .	je suis ordonné .
i'm tidy .	je suis ordonnée .
i'm ugly .	je suis laid .
i'm ugly .	je suis laide .
i'm weak .	je suis faible .
i'm well .	je vais bien .
i'm well .	je me porte bien .
he is ill .	il est malade .
he is old .	il est vieux .
i am busy .	je suis occupé .
i am calm .	je suis calme .
i am cold .	j'ai froid .
i am good .	je suis bon .
i am here .	je suis ici .
i am lazy .	je suis paresseux .
i am lazy .	je suis fainéant .
i am lazy .	je suis paresseuse .
i am lazy .	je suis fainéante .
i am okay .	je vais bien .
i am sick .	je suis malade .
i am sure .	je suis sûr .
i am sure .	je suis certain .
i am weak .	je suis faible .
i'm a cop .	je suis flic .
i'm a man .	je suis un homme .
i'm alone .	je suis seule .
i'm alone .	je suis seul .
i'm armed .	je suis armé .
i'm armed .	je suis armée .
i'm awake .	je suis réveillé .
i'm blind .	je suis aveugle .
i'm broke .	je suis fauché .
i'm crazy .	je suis fou .
i'm crazy .	je suis folle .
i'm cured .	je suis guéri .
i'm cured .	je suis guérie .
i'm drunk .	je suis saoul .
i'm drunk .	je suis soûl .
i'm drunk .	je suis ivre .
i'm dying .	je me meurs .
i'm early .	je suis en avance .
i'm first .	je suis en premier .
i'm fussy .	je suis difficile .
i'm fussy .	je suis tatillon .
i'm fussy .	je suis tatillonne .
i'm going .	je pars maintenant .
i'm going .	je me tire .
i'm going .	j’y vais .
i'm going .	je pars .
i'm loyal .	je suis loyal .
i'm loyal .	je suis loyale .
i'm lucky .	je suis veinard .
i'm lucky .	je suis veinarde .
i'm lucky .	j'ai du pot .
i'm lucky .	je suis chanceux .
i'm lucky .	je suis chanceuse .
i'm lying .	je suis en train de mentir .
i'm quiet .	je suis tranquille .
i'm ready !	je suis prête !
i'm ready !	je suis prêt !
i'm ready .	je suis prêt .
i'm right .	j'ai raison .
i'm sober .	je suis sobre .
i'm sorry .	excuse-moi .
i'm sorry .	désolé .
i'm sorry .	désolé !
i'm sorry .	je suis désolé .
i'm sorry .	je suis désolée .
i'm stuck .	je suis coincée .
i'm timid .	je suis timide .
i'm tired .	je suis fatigué !
i'm tough .	je suis dur .
i'm tough .	je suis dure .
i'm tough .	je suis dur à cuire .
i'm tough .	je suis dure à cuire .
i'm yours .	je suis à toi .
i'm yours .	je suis à vous .
we're hot .	nous avons chaud .
we're sad .	nous sommes tristes .
we're shy .	nous sommes timides .
he is busy .	il a à faire .
he is here !	il est ici  !
he is kind .	il est gentil .
he is late .	il est en retard .
he is lazy .	il est fainéant .
he is lazy .	il est paresseux .
he is poor .	il est pauvre .
he is sick .	il est malade .
i am human .	je suis humain .
i am ready .	je suis prêt .
i am right .	j'ai raison .
i am sorry .	je suis désolé .
i am sorry .	je suis désolée .
i am tired .	je suis fatigué !
i am tired .	je suis crevé .
i'm french .	je suis français .
i'm korean .	je suis coréen .
i'm a hero .	je suis un héros .
i'm a liar .	je suis un menteur .
i'm baking !	je cuis !
i'm better .	je vais mieux .
i'm buying .	je paie .
i'm buying .	c'est moi qui paie .
i'm chubby .	je suis grassouillet .
i'm chubby .	je suis grassouillette .
i'm eating .	je mange .
i'm famous .	je suis connu .
i'm famous .	je suis connue .
i'm faster .	je suis plus rapide .
i'm flabby .	je suis flasque .
i'm greedy .	je suis cupide .
i'm greedy .	je suis gourmand .
i'm greedy .	je suis gourmande .
i'm hiding .	je me cache .
i'm honest .	je suis honnête .
i'm humble .	je suis humble .
i'm hungry !	j'ai faim !
i'm hungry .	j'ai faim !
i'm immune .	je suis immunisé .
i'm immune .	je suis immunisée .
i'm in bed .	je suis au lit .
i'm in bed .	je suis alité .
i'm in bed .	je suis alitée .
i'm joking .	je rigole !
i'm loaded .	je suis saoul .
i'm lonely .	je me sens seul .
i'm lonely .	je me sens seule .
i'm losing .	je suis en train de perdre .
i'm moving .	je suis en train de déménager .
i'm normal .	je suis normal .
i'm normal .	je suis normale .
i'm paying .	c'est moi qui paie .
i'm paying .	je suis en train de payer .
i'm pooped .	je suis crevé .
i'm rested .	je suis reposé .
i'm rested .	je suis reposée .
i'm ruined .	je suis ruiné .
i'm ruined .	je suis ruinée .
i'm shaken .	je suis remué .
i'm shaken .	je suis remuée .
i'm single .	je suis célibataire .
i'm skinny .	je suis maigrichon .
i'm skinny .	je suis maigrichonne .
i'm sleepy !	je suis fatigué  !
i'm sleepy !	j'ai sommeil  !
i'm sneaky .	je suis sournois .
i'm sneaky .	je suis sournoise .
i'm strict .	je suis strict .
i'm strict .	je suis stricte .
i'm strong .	je suis fort .
i'm strong .	je suis forte .
i'm thirty .	j'ai trente ans .
i'm wasted .	je suis affaiblie .
she is old .	elle est vieille .
she smiled .	elle a souri .
we are men .	nous sommes des hommes .
we're back .	nous sommes de retour .
we're busy .	nous sommes occupés .
we're busy .	nous sommes occupées .
we're done .	nous avons fini .
we're done .	nous avons terminé .
we're done .	nous en avons fini .
we're done .	nous en avons terminé .
we're even .	nous sommes quittes .
we're fine .	nous allons bien .
we're here .	nous sommes ici .
we're here .	nous sommes là .
we're home .	nous sommes chez nous .
we're late .	nous sommes en retard .
we're lost .	nous sommes perdus .
we're lost .	nous sommes perdues .
we're rich .	nous sommes riches .
we're safe .	nous sommes en sécurité .
we're sunk .	on est foutu .
we're sunk .	nous sommes foutus .
we're weak .	nous sommes faibles .
you're bad .	tu es vilain .
you're big .	tu es grand .
you're big .	tu es grande .
you're big .	vous êtes grand .
you're big .	vous êtes grande .
you're big .	vous êtes grands .
you're big .	vous êtes grandes .
you're fun .	t'es marrante .
you're fun .	t'es marrant .
you're old .	tu es vieux .
you're old .	tu es vieille .
you're old .	vous êtes vieux .
you're old .	vous êtes vieilles .
you're old .	vous êtes vieille .
you're sad .	tu es triste .
you're sad .	vous êtes triste .
you're shy .	tu es timide .
you're shy .	vous êtes timide .
he is drunk .	il est ivre .
he is drunk .	il est soûl .
he is eight .	il a huit ans .
he is hated .	il est haï .
he is nasty .	il est méchant .
he is smart .	il est intelligent .
he is young .	il est jeune .
he squinted .	il loucha .
he squinted .	il a louché .
he stood up .	il se mit debout .
he stood up .	il se dressa .
he stood up .	il s'est levé .
i am french .	je suis français .
i am korean .	je suis coréen .
i am better .	je vais mieux .
i am better .	je suis mieux .
i am coming .	j'arrive .
i am hungry .	j'ai faim !
i am joking .	je plaisante .
i am single .	je suis célibataire .
i am taller .	je suis plus grand .
i'm 17, too .	j'ai également dix-sept ans .
i'm finnish .	je suis finlandais .
i'm finnish .	je suis finlandaise .
i'm italian .	je suis italien .
i'm a baker .	je suis boulanger .
i'm a baker .	je suis boulangère .
i'm all set .	je suis tout à fait prêt .
i'm all set .	je suis tout à fait prête .
i'm ashamed .	j'ai honte .
i'm at home .	je suis à la maison .
i'm at home .	je suis dans la maison .
i'm baffled .	je suis perplexe .
i'm blessed .	je suis béni .
i'm blessed .	je suis bénie .
i'm careful .	je suis prudent .
i'm careful .	je suis prudente .
i'm certain .	je suis sûr .
i'm certain .	je suis certain .
i'm chicken .	j'ai les foies .
i'm chicken .	j'ai les chocottes .
i'm correct .	j'ai raison .
i'm curious .	je suis curieux .
i'm curious .	je suis curieuse .
i'm dancing .	je suis en train de danser .
i'm dieting .	je suis au régime .
i'm driving .	je suis en train de conduire .
i'm driving .	je conduis .
i'm engaged .	je suis fiancé .
i'm engaged .	je suis fiancée .
i'm excited .	je suis excité .
i'm excited .	je suis excitée .
i'm fasting .	je fais la diète .
i'm fasting .	je suis à la diète .
i'm finicky .	je suis méticuleux .
i'm finicky .	je suis méticuleuse .
i'm frantic .	je suis affolé .
i'm frantic .	je suis affolée .
i'm furious .	je suis furieux .
i'm healthy .	je suis en bonne santé .
i'm humming .	je fredonne .
i'm in luck .	je suis veinard .
i'm in luck .	je suis veinarde .
i'm jealous .	je suis jalouse .
i'm jittery .	j'ai la frousse .
i'm kidding .	je plaisante .
i'm kidding .	je rigole !
i'm leaving .	je pars .
i'm married .	je suis marié .
i'm married .	je suis mariée .
i'm no fool .	je ne suis pas une idiote .
i'm no hero .	je ne suis pas un héros .
i'm no liar .	je ne suis pas un menteur .
i'm not fat .	je ne suis pas gros .
i'm not mad .	je ne suis pas fou .
i'm not mad .	je ne suis pas folle .
i'm not old .	je ne suis pas vieux .
i'm not old .	je ne suis pas vieille .
i'm not sad .	je ne suis pas triste .
i'm not shy .	je ne suis pas timide .
i'm on duty .	je suis en service .
i'm patient .	je suis patiente .
i'm patient .	je suis patient .
i'm popular .	je suis populaire .
i'm psyched .	je suis remonté .
i'm psychic .	je suis voyant .
i'm psychic .	je suis voyante .
i'm puzzled .	je suis perplexe .
i'm reading .	je lis .
i'm relaxed .	je suis détendu .
i'm relaxed .	je suis détendue .
i'm retired .	je suis retraité .
i'm retired .	je suis retraitée .
i'm retired .	je suis pensionné .
i'm retired .	je suis pensionnée .
i'm selfish .	je suis égoïste .
i'm serious .	je suis sérieux .
i'm shocked .	je suis choqué .
i'm shocked .	je suis choquée .
i'm sincere .	je suis sincère .
i'm sloshed .	je suis bourré .
i'm sloshed .	je suis bourrée .
i'm so full .	je suis tellement rassasié .
i'm starved .	je meurs de faim !
i'm starved .	j'ai l'estomac dans les talons .
i'm starved .	j'ai la dalle .
i'm starved .	j'ai les crocs .
